record_id,title,authors,year,database,doi,language,duplicate,decision_stage,decision,exclusion_reason,notes
20,"Advances in Bovine Cultivated Meat and Precision Fermentation-Derived Milk Proteins: Technological, Regulatory, and Sensory Perspectives","Manzoki, Maria Clara and Negreiros Piazenski, Igor and Mânica Candelário, João Pedro and Soccol, Vanete Thomaz and De Melo Pereira, Gilberto Vinícius and Grace Karp, Susan and De Souza Vandenberghe, Luciana Porto and Soccol, Carlos Ricardo",2026,Google Scholar,10.1080/87559129.2025.2596204,en,Não,Full-text eligibility,Excluded,inaccessible,
21,Animal-derived components in cultivated meat research and their alternatives,"Garbin, Vivien Patrícia and Ferreira, Guilherme Agostinis and Olegário, Juliana do Canto and Poniewas, Luiza and de Macedo, Renata Ernlund Freitas",2025,Google Scholar,,,Não,Full-text eligibility,Excluded,purely technical study,
22,"How much do opinions regarding cultivated meat vary within the same country? The cases of São Paulo and Salvador, Brazil","Mendes, Gabriel and Biscarra-Bellio, Jennifer Cristina and Heidemann, Marina Sucha and Taconeli, Cesar Augusto and Molento, Carla Forte Maiolino",2025,Google Scholar,,,Não,Full-text eligibility,Excluded,no significant regulatory sections,
23,First glimpse on attitudes of highly educated consumers towards cell-based meat and related issues in Brazil,"Fiedler, Rodrigo",2026,Google Scholar,,,Não,Full-text eligibility,Excluded,no significant regulatory sections,
24,Alternative proteins in Brazil: nomenclature for plant based & cultured meat,"Bryant, Christopher and Krelling, Felipe",2020,Google Scholar,,,Não,Full-text eligibility,Excluded,purely technical study,
25,From introduction to the production of cultivated meat in higher education in Brazil,"Biscarra, Jennifer Cristina and Molento, Carla Forte Maiolino",2024,Google Scholar,,,Não,Full-text eligibility,Excluded,inaccessible,
26,"Enterobacteriaceae contamination in raw chicken meat from Amazonas, Brazil: implications for food hygiene","Amorim, A. B. A. and Santos, A. N. A. and Campelo, M. M. and Amorim, A. S. A. and Santos, S. M. and Lopes Junior, A. L. and Aride, P. H. R. and Oliveira, A. T.",2026,SciELO,10.1590/1519-6984.305490,en,Não,Triagem título/resumo,Excluded,out of scope,
27,Results of industrial crossbreeding of meat-wool sheep with specialized foreign meat breeds,"Kassenov, Zh. and Kulzhanova, B. and Khamzina, S. and Dyussegaliyev, M. and Baimukhanbetova, K.",2026,SciELO,10.1590/1519-6984.307070,en,Não,Triagem título/resumo,Excluded,out of scope,
28,El impacto de la actualización tecnológica en la competitividad de las empresas cárnicas de Cuenca,"González González, Christian and Vázquez-Loaiza, Juan Pablo",2025,SciELO,10.32719/25506641.2025.18.5,es,Não,Triagem título/resumo,Excluded,out of scope,
29,Dystocia and stillbirth in beef cattle with subclinical hypomagnesemia: a case study,"Sosa, E. and Miqueo, E. and Mejía, M. and Fernández, E. and Fernández Tovo, M. and Cruz, M. and Campero, L. M. and Moore, D. P. and Morrell, , E. and Cantón, , G. J.",2025,SciELO,10.30972/vet.3618089,es,Não,Triagem título/resumo,Excluded,out of scope,
30,Efecto del extracto de ajo más cebolla en el rendimiento productivo y morfometría intestinal en pollos de carne,"Pujada A., Hilario and Rojas B., Nilsa and Legua C., José and Airahuacho B., Félix and Velásquez V., Carlomagno",2025,SciELO,10.15381/rivep.v36i2.28064,es,Não,Triagem título/resumo,Excluded,out of scope,
31,Estado de situación de los servicios de inmunización en las farmacias de comunidad privada de Costa Rica,"Segura Cano, S and Montero Chinchilla, N and Quesada Rojas, Y",2025,SciELO,10.4321/s1699-714x2025000100006,es,Não,Triagem título/resumo,Excluded,out of scope,
32,"Inclusión de la vaina de Guanacaste (Enterolobium cyclocarpum) en la dieta de corderos sobre características productivas, de canal y de carne","Ramírez-Reyes, Juan Manuel and Pinos-Rodríguez, Juan Manuel and Dávila-Montero, Urso Martín and Verdes-García, José Manuel and López-Aguirre, Samuel and Martínez-Hernández, Jose Manuel",2025,SciELO,10.22319/rmcp.v16s4.6729,es,Não,Triagem título/resumo,Excluded,out of scope,
33,A methodological approach to estimating the production value of family farming in Uruguay,"Ackermann, M. N. and Aguirre, E. and Cortelezzi, Á. and Sanguinetti, M.",2025,SciELO,10.31285/agro.29.1617,en,Não,Triagem título/resumo,Excluded,out of scope,
34,Efeito das pausas psicofisiológicas na temperatura das mãos de trabalhadores de frigoríficos,"Dias, Natália Fonseca and Tirloni, Adriana Seára and Moro, Antônio Renato Pereira",2025,SciELO,10.1590/2317-6369/15123pt2025v50e4,pt,Não,Triagem título/resumo,Excluded,out of scope,
35,"Qualitative determination of tetracycline residues in bovine meat at the level of the municipal slaughterhouse of Santa Rosa Canton, Oro province, Ecuador","Blacio, M. V. F. and Mora, M. G. M. and Santillán, N. S. T. and Llivi-Marcatoma, J. and Rivera, N. E. A. and Caiminagua, H. J. V. and Andrade, L. Cabezas and Rivera, S. A. G.",2025,SciELO,10.1590/1519-6984.295997,en,Não,Triagem título/resumo,Excluded,out of scope,
36,Sodium content in packaged foods and beverages in Argentina in 2024 and policy implications,"Guarnieri, Leila and Cámara, Florencia and Tiscornia, Maria Victoria and Pirola, Malena and Castronuovo, Luciana",2025,SciELO,10.26633/rpsp.2025.98,en,Não,Triagem título/resumo,Excluded,out of scope,
37,Marketing margins in the beef supply chain in Rio Grande do Sul: COVID-19 pandemic impacts,"Viana, João Garibaldi Almeida and Rodrigues, Gerson Alex Rocha and Valle, Carine Dalla and Boscardin, Mariele and Dörr, Andréa Cristina",2025,SciELO,10.1590/0103-8478cr20240364,en,Não,Triagem título/resumo,Excluded,out of scope,
38,Optimización digital integral para la empresa “EMCABOL LTDA.” a través del desarrollo de una página web,"Cusiquispe Cusiquispe, Joel and Espinoza Paz, Max and Taboada Belmonte, Gloria Cristal and Rosales Camacho, Pavel",2024,SciELO,10.53287/vmqq2552iq38s,es,Não,Triagem título/resumo,Excluded,out of scope,
39,Características de la canal en ganado Simmental y Simbrah en México,"Upalía-Orozco, Rafael and Martínez-Velázquez, Guillermo and Montaño-Bermúdez, Moises and Medina-Chapa, José Manuel and Ríos-Utrera, Ángel and Carrasco-García, Apolo Adolfo and Martínez-Hernández, José Manuel and Villagómez-Cortés, José Alfredo and Vega-Murillo, Vicente Eliezer",2024,SciELO,10.29393/chjaas40-10ccrv90010,es,Não,Triagem título/resumo,Excluded,out of scope,
40,Identification and bioinformatic analysis of invA gene of Salmonella in free range chicken,"Mohammed, B. T.",2024,SciELO,10.1590/1519-6984.263363,en,Não,Triagem título/resumo,Excluded,out of scope,
41,Duty cycle and high-frequency effects on welfare and meat quality of broilers chicken: compliance with European animal stunning regulation,"Rocha, Bruna Regina Pereira da and Adria, Amanda and Lima, Vanderlei Aparecido de and Weber, Cleusa Inês and Machado-Lunkes, Alessandra",2024,SciELO,10.1590/0103-8478cr20220668,en,Não,Triagem título/resumo,Excluded,out of scope,
42,Technical efficiency in beef cattle farming in Uruguay: Insights from census data,"Aguirre, E. and García Suárez, F. and Sicilia, G.",2024,SciELO,10.31285/agro.28.1237,en,Não,Triagem título/resumo,Excluded,out of scope,
43,Las políticas de la carne: del Mitín de 1905 al Matadero Público de 1847,"Correa-Gómez, María José",2024,SciELO,10.1590/s2178-149420240314,es,Não,Triagem título/resumo,Excluded,out of scope,
44,Effect of applying lime essential oil (Citrus latifolia) on the physicochemical and microbiological characteristics of beef meat sausage,"Frazão, Leticia de Kássia Reis and Serra, Josilene Lima and Pereira, Geisa Lohuama da Luz and Lima, Leidiana de Sousa and Gomes, Rafael Alves and Alves, Gleice Karoline dos Santos and Pereira, Anderson Lopes and Mouchreck, Adenilde Nascimento",2024,SciELO,10.1590/s1519-994020240010,en,Não,Triagem título/resumo,Excluded,out of scope,
45,Improving reproduction and growth characteristics of indegenous goats in smallholding farming system,"Koluman, Nazan and Durmuş, Murat and Güngör, İrfan",2024,SciELO,10.1590/0103-8478cr20230028,en,Não,Triagem título/resumo,Excluded,out of scope,
46,"Use and filling out of the child health booklet among beneficiaries of the Bolsa Família Program in Salvador-Bahia, Brazil: a cross-sectional study, 2023","Palombo, Claudia Nery Teixeira and Oliveira, Márcia Maria Carneiro and Whitaker, Maria Carolina Ortiz and Araújo, Ráren Paulo da Silva and Santos, Carolina de Jesus and Passos, Mariana Cavalcante Brotas and Oliveira, Clariana Vitória Ramos de and Souza, Ednir Assis",2024,SciELO,10.1590/s2237-96222024v33e2024498.en,en,Não,Triagem título/resumo,Excluded,out of scope,
47,Sincronización del estro y ovulación en hembras bovinas de razas cárnicas. Bases endocrinas y protocolos usados,"Hernández-Coronado, Cyndi and Rosales-Torres, Ana and Vázquez-López, Salomón and Guzmán-Sánchez, Adrián",2023,SciELO,10.21929/abavet2023.16,es,Não,Triagem título/resumo,Excluded,out of scope,
48,Serological and vaccine evaluation for hepatitis B among Community Health Workers,"Amaral, Tauana de Souza and Alves, Clery Mariano da Silva and Rezende, Fabiana Ribeiro and Caetano, Karlla Antonieta Amorim and Tipple, Anaclara Ferreira Veiga",2023,SciELO,10.1590/1518-8345.6107.3765,en,Não,Triagem título/resumo,Excluded,out of scope,
49,Análisis de estrategias aplicadas por emprendimientos agroganaderos del Chaco central. Año 2020,"Peña Cardozo, Angel Ramón and Oporto Giménez, Adán Ariel and Ovelar Benítez, Hugo Miguel and Torales Solís, Genaro Marcial and León Fretes, Leticia Lorena",2023,SciELO,10.18004/ucsa/2409-8752/2023.010.03.023,es,Não,Triagem título/resumo,Excluded,out of scope,
50,Occurrence of Salmonella spp. in the broiler production chain,"Queiroz, A.C. and Milanesi, M. and Queiroz, L.H. and Nunes, C.M.",2023,SciELO,10.1590/1678-4162-12842,en,Não,Triagem título/resumo,Excluded,out of scope,
51,Calidad microbiológica de embutidos crudos: estudio del caso en Latinoamérica,"Redondo-Solano, Mauricio and Valenzuela-Martínez, Carol and Cordero-Calderón, Valery and Araya-Morice, Adriana",2023,SciELO,10.37527/2023.73.3.004,es,Não,Triagem título/resumo,Excluded,out of scope,
52,Modulación de las emisiones de gases efecto invernadero de un hato lechero,"Guerrero, Cindy Carolina López and Quelal, Washington Orlando Meneses",2023,SciELO,10.33996/revistaalfa.v7i20.226,es,Não,Triagem título/resumo,Excluded,out of scope,
53,¿Es México competitivo en el comercio internacional de carne de pollo?,"Bustamante-Lara, Tzatzil Isela and Téllez-Sánchez, Fernando and Rodríguez-Haros, Benito and Vargas-Canales, Juan Manuel and Reyes-Barrera, Dulce María and Rosas-Vargas, Rocío",2023,SciELO,10.24836/es.v33i61.1276,es,Não,Triagem título/resumo,Excluded,out of scope,
54,Estudo metanalítico sobre a microbiologia da carne bovina moída no Brasil,"Araújo, C.A. and Novaes, J. J. S. and Lima, D. O. and Santos, N. S. and Campos, F. S. and Gois, G. C. and Borba, P. H. P.",2023,SciELO,10.15446/rfmvz.v70n1.100851,pt,Não,Triagem título/resumo,Excluded,out of scope,
55,"Determinación de dietilestilbestrol, zeranol y trembolona en carne de pollo de origen nacional e importado","Peña-Torres, Edgar Fernando and Benitez-Hernández, Asahel and García-Barron, Sergio Erick and Peña-Morán, Omar Aristeo and Montero-Lara, Gabriel Ángel",2023,SciELO,10.19136/era.a10niii.3709,es,Não,Triagem título/resumo,Excluded,out of scope,
56,"Prevalence of bovine fascioliasis and economic losses in an abattoir located in the state of Espírito Santo, Brazil","Teixeira, Jessica Nogueira and Barcellos, Rodrigo Rhoden and Link, Daniella Tosta and Mathias, Luis Antonio and Tobias, Fernando Luiz and Braga, Fabio Ribeiro and Rossi, Gabriel Augusto Marques",2023,SciELO,10.1590/0103-8478cr20220121,en,Não,Triagem título/resumo,Excluded,out of scope,
57,Morphology and molecular phylogeny of trypanorhynchid metacestodes infecting commercial fish of the Mediterranean Sea,"Morsy, K. and Dajem, S.B. and Alghamdi, A. and El-kott, A. and Ibrahim, E. and Attia, K. and Al-Doaiss, A. and El-Mekkawy, H. and Sheraba, N. and Baiomy, A. and Fahmy, M. and Shalaby, F.",2023,SciELO,10.1590/1678-4162-12892,en,Não,Triagem título/resumo,Excluded,out of scope,
58,"Identificación de hábitos, conductas y prácticas de niñas, niños y adolescentes de 5º y 6º año en instituciones educativas públicas y privadas","Paz, Sergio and Trianon, Verónica and Arana, Maite and Gutiérrez, Stella",2023,SciELO,10.31134/ap.94.2.4,es,Não,Triagem título/resumo,Excluded,out of scope,
59,"Mantenimiento del estatus de eliminación del sarampión en Colombia durante el control de brotes, 2019","Prieto Alvarado, Franklyn Edwin and Salas Suspes, Helena Patricia and Cortés Molano, Natalí Paola and Tavera, Pilar Andrea",2023,SciELO,10.26633/rpsp.2023.165,es,Não,Triagem título/resumo,Excluded,out of scope,
60,Vertical and spatial price transmission in the Mexican and international cattle and beef market,"Jaramillo Villanueva, José Luis",2022,SciELO,10.22319/rmcp.v13i4.5839,es,Não,Triagem título/resumo,Excluded,out of scope,
61,Frecuencia y puntaje de jadeo en bovinos productores de carne en finalización intensiva durante el verano,"Romo Valdez, Ana Mireya and Portillo Loera, Jesús José and Urías Estrada, Jesús David and Estrada Angulo, Alfredo and Castro Pérez, Beatriz Isabel and Ríos Rincón, Francisco Gerardo",2022,SciELO,10.22319/rmcp.v13i2.5977,es,Não,Triagem título/resumo,Excluded,out of scope,
62,Fiebre Q: revisión histórica de casos humanos en Uruguay. Abordaje desde la complementariedad entre las ciencias médicas y veterinarias,"Rabaza, Ana and Giannitti, Federico and Fraga, Martín and Pérez Lorenzo, Claudia and Hirigoyen, Darío",2022,SciELO,10.29193/rmu.38.2.8,es,Não,Triagem título/resumo,Excluded,out of scope,
63,Peso corporal y peso del huevo de Campero Casilda como gallina doble propósito,"Martín Romera, Bernardo and Edith Canet, Zulma and Fernández, Ramiro and Dottavio, Ana María and Di Masso, Ricardo José",2022,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
64,"Epidemiology and economic impact of bovine cysticercosis in the state of Espírito Santo, Brazil","Rossi, Gabriel Augusto Marques and Mathias, Luis Antonio and Tobias, Fernando Luiz and Ferraz, Carolina Magri and Sobral, Samilla Alves and Veloso, Francielle Bosi Rodrigues and Lima, José Antonio Correia and Aguiar, Deivisson Ferreira and Braga, Fabio Ribeiro",2022,SciELO,10.1590/0103-8478cr20210745,en,Não,Triagem título/resumo,Excluded,out of scope,
65,Larval cestodes infecting commercial fish of Alexandria coast along the Mediterranean Sea: morphology and phylogeny,"Morsy, Kareem and Dajem, Saad Bin and Al-Kahtani, Mohammed and El-kott, Attalla and Ibrahim, Essam and Hamdi, Hamida and Al-Doaiss, Amin and Abumandour, Mohamed and El-Mekkawy, Haitham and Massoud, Diaa and Adel, Asmaa and El-Kareem, Shams Abd",2022,SciELO,10.1590/s1984-29612022030,en,Não,Triagem título/resumo,Excluded,out of scope,
66,"Labeling food allergens in the packaged food pyramid groups in Brazil: analysis of descriptions, ambiguities, and risks","Lopes, Joice Ferreira and Carvalho, Mary de Assis and Machado, Nilton Carlos",2022,SciELO,10.1590/1984-0462/2022/40/2021079in,pt,Não,Triagem título/resumo,Excluded,out of scope,
67,Job rotation as a legal requirement: analysis of the participatory approach in acceptance and workers’ perception at a meatpacking plant,"Messias, Iracimara de Anchieta and Nascimento, Adelaide and Rocha, Raoni",2022,SciELO,10.1590/1806-9649-2022v29e10522,en,Não,Triagem título/resumo,Excluded,out of scope,
68,Economic impact of chronic pleural lesions and consequent disqualification of carcasses for export during inspection in swine slaughterhouses,"Rocha, Nilson and Mores, Marcos A.Z. and Dezen, Diógenes and Mores, Nelson and Coldebella, Arlei and Rebelatto, Raquel and Kich, Jalusa D.",2022,SciELO,10.1590/1678-5150-pvb-7118,en,Não,Triagem título/resumo,Excluded,out of scope,
69,Influence of intrinsic and extrinsic factors on the sensory perception and intention to purchase buffalo meat by consumers in Southeast Brazil,"Andrade, Bruna Fernandes and Paula, Marielle Maria de Oliveira and Carneiro, João de Deus Souza and Fontes, Paulo Rogério and Torres Filho, Robledo de Almeida and Ramos, Eduardo Mendes and Ramos, Alcinéia de Lemos Souza",2022,SciELO,10.1590/1981-6723.00222,en,Não,Triagem título/resumo,Excluded,out of scope,
70,Análise retrospectiva das causas de condenações de carcaças e vísceras de bovinos abatidos em abatedouros frigoríficos na Região Norte da Amazônia Oriental,"Damasceno Neto, Manoel Soares and Conceição de Lima Nunes, Emília do Socorro and Conceição da Silva, Welligton",2021,SciELO,10.21615/cesmvz.6331,pt,Não,Triagem título/resumo,Excluded,out of scope,
71,Efecto de la raza sobre la calidad de la canal y de la carne en corderos Pampinta y su cruza con Hampshire Down,"Stazionati, MF and Keilty, H and Sánchez, H and Murci, VN",2021,SciELO,10.19137/cienvet202123206,es,Não,Triagem título/resumo,Excluded,out of scope,
72,Valoración del confort térmico de bovinos productores de carne en finalización intensiva en clima cálido,"Zazueta G., Citlaly and Castro P., Isabel and Estrada-Angulo, Alfredo and Portillo L., Jesús and Urías E., David and Ríos R., Francisco",2021,SciELO,10.15381/rivep.v32i5.19301,es,Não,Triagem título/resumo,Excluded,out of scope,
73,Identification of pig farm practices in the central Andean region of Colombia,"Trujillo-Díaz, Johanna and Díaz-Piraquive, Flor Nancy and Herrera, Milton M. and Gómez Acero, Jairo",2021,SciELO,10.21930/rcta.vol22_num2_art:1535,en,Não,Triagem título/resumo,Excluded,out of scope,
74,¿Cómo los consumidores valoran atributos de calidad de carne bovina y su disposición a pago?,"BARRAGÁN-HERNÁNDEZ, , WILSON and MAHECHA-LEDESMA, , LILIANA and OLIVERA-ANGEL, , MARTHA and ANGULO-ARIZALA, , JOAQUÍN",2021,SciELO,10.18684/bsaa(19)167-179,es,Não,Triagem título/resumo,Excluded,out of scope,
75,Caracterización de los factores de riesgo modificables para el cáncer colorrectal,"García Méndez, Imandra María and Benavides Couto, Alexander and Arrechea Betancourt, Yaima and Surí García, Claudia Beatriz and de la Mora Martín, Fernando",2021,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
76,"Qualidade microbiológica da água e dos mexilhões Perna perna (Linnaeus, 1758) cultivados em Piúma, Espírito Santo, Brasil","Silva, Breno Ribeiro da and Menegardo, Suzana Bianquini and Aride, Paulo Henrique Rocha and Lavander, Henrique David and Spago, Flávia Regina and Souza, Thiago Bernardo de",2021,SciELO,10.1590/s1413-415220180169,pt,Não,Triagem título/resumo,Excluded,out of scope,
77,Competitividade das exportações de carne bovina do Brasil: uma análise das vantagens comparativas,"Rodrigues, Lucas Melo Silva and Marta-Costa, Ana Alexandra",2021,SciELO,10.1590/1806-9479.2021.238883,pt,Não,Triagem título/resumo,Excluded,out of scope,
78,"Occurrence of anti-Toxoplasma gondii and anti-Neospora caninum antibodies in pigs in the State of Pará, Brazil","Lopes, Leonardo Machado and Minervino, Antonio Humberto Hamad and Monger, Suellen da Gama Barbosa and Soares, Herbert Sousa and Portela, Juliana Machado and Ferreira, Juliana Isabel Giuli da Silva and Gennari, Solange Maria and Pereira, Washington Luiz Assunção",2021,SciELO,10.1590/s1984-296120201085,en,Não,Triagem título/resumo,Excluded,out of scope,
79,Time series evaluation of ascitic syndrome condemnation at poultry abattoirs under Federal Inspection Service of Brazil (2010-2019),"Souza, Marina C.C. and Borges, Luiz Felipe N.M. and Nascimento, Yago F. and Costa, Letícia R.M. and Dias, Sthéfany C. and Ventura, Nayla K.O. and Freire, Isabela S. and Cossi, Marcus V.C.",2021,SciELO,10.1590/1678-5150-pvb-6806,en,Não,Triagem título/resumo,Excluded,out of scope,
80,"Primeiro registro de Lysuraceae Corda (Phallales, Basidiomycota, Fungi) para o Nordeste brasileiro","Azevedo, Cecília Oliveira de and Caires, Claudenir Simões and Trierveiler-Pereira, Larissa",2021,SciELO,10.1590/2236-8906-06/2021,pt,Não,Triagem título/resumo,Excluded,out of scope,
81,"El ganado bovino Criollo Coreño del occidente de México en la producción de carne: caracterización, retos y perspectivas","Martínez-Velázquez, Guillermo and Ríos-Utrera, Ángel and Palacios-Fránquez, José Antonio and Vega-Murillo, Vicente Eliezer and Montaño-Bermúdez, Moisés",2021,SciELO,10.22319/rmcp.v12s3.5884,es,Não,Triagem título/resumo,Excluded,out of scope,
82,Most consumed foods in Brazil: evolution between 2008-2009 and 2017-2018,"Rodrigues, Renata Muniz and Souza, Amanda de Moura and Bezerra, Ilana Nogueira and Pereira, Rosangela Alves and Yokoo, Edna Massae and Sichieri, Rosely",2021,SciELO,10.11606/s1518-8787.2021055003406,pt,Não,Triagem título/resumo,Excluded,out of scope,
83,Electrical stunning in South American catfish (Rhamdia quelen) using direct current waveform: welfare and meat quality,"Rucinque, Daniel Santiago and Biscaia, Andrea Gomes Chalbaud and Watanabe, André Luiz and Molento, Carla Forte Maiolino",2021,SciELO,10.1590/0103-8478cr20200547,en,Não,Triagem título/resumo,Excluded,out of scope,
84,"Concordância do registro informatizado de imunização de Araraquara, São Paulo, 2018","Garcia, Érica Marvila and Murakami Junior, Jose and Costa, Ângela Aparecida and Inenami, Marta and Figueiredo, Walter Manso and Waldman, Eliseu Alves and Sato, Ana Paula Sayuri",2021,SciELO,10.1590/s1679-49742021000200023,pt,Não,Triagem título/resumo,Excluded,out of scope,
85,RECURSOS ANIMALES Y SUBSISTENCIA HUMANA EN LOS VALLES DE ALTURA DEL NOROESTE ARGENTINO: EL CASO DEL SITIO LOS VISCOS DURANTE LOS PERÍODOS TARDÍO E HISPANO-INDÍGENA,"Arias, María Florencia",2020,SciELO,,es,Não,Triagem título/resumo,Excluded,out of scope,
86,Comercialização ilegal de carne de animais silvestres em feiras livres de algumas cidades do Estado do Amazonas (Brasil),"Mendes, Fabrício Lemos de Siqueira",2020,SciELO,10.24188/recia.v12.n2.2020.765,pt,Não,Triagem título/resumo,Excluded,out of scope,
